City,AQI,PM2.5,PM10,O3,NO2,SO2,CO,Latitude,Longitude,Time
"Opp GPO Civil Lines, Nagpur, India",141,141,96,28.7,30.2,44.3,7.8,21.152875,79.0517531,2024-05-04 18:00:00
"Gangapur Road, Nashik, India",139,139,74,28.1,1.3,4.8,4.8,20.0073285,73.7762427,2024-05-04 18:00:00
"Shivajinagar, Pune, Pune, India",232,232,138,61,198,N/A,51,18.529603,73.849586,2021-11-15 06:00:00
"Solapur, Solapur, India",133,133,104,N/A,20.1,47.3,N/A,17.6599188,75.9063906,2024-05-04 18:00:00
"Pimpleshwar Mandir, Dombivali, Thane, India",95,N/A,95,13.4,3.6,3.5,1.4,19.192056,72.9585188,2024-05-04 18:00:00
"Khadakpada, Kalyan, India",104,64,104,4.6,11.2,10.9,3.2,19.25292,73.142019,2024-05-04 18:00:00
"DM College of Science, Imphal, India",48,48,46,1.3,2.7,41.9,1.3,24.8207389,93.9423085,2024-05-04 18:00:00
"Lumpyngngad, Shillong, India",153,153,56,5.9,0.5,16.5,3.3,25.5586,91.8985,2024-05-04 18:00:00
"Sikulpuikawn, Aizawl, India",60,54,60,1.8,0.2,1.1,3,23.7176342,92.7192841,2024-05-04 18:00:00
"PWD Juction, Kohima, India",155,155,75,9.7,1.3,15.6,2.8,25.6635413,94.0989878,2024-05-04 11:00:00
"Mons, Belgium",18,12,18,N/A,N/A,N/A,N/A,50.46519216,3.939714326,2024-05-03 16:00:00
"Jawahar Nagar, Puducherry, India",54,54,48,20,1.4,4.1,3.8,11.9309,79.8027,2024-05-04 18:00:00
"Jawahar Nagar, Puducherry, India",54,54,48,20,1.4,4.1,3.8,11.9309,79.8027,2024-05-04 18:00:00
"Golden Temple, Amritsar, India",137,137,65,16.9,10.3,4.4,2.4,31.62,74.876512,2024-05-04 18:00:00
"Sector 22, Chandigarh, India",65,65,50,44.3,7.4,3.1,6.3,30.735567,76.775714,2024-05-04 18:00:00
"Civil Line, Jalandhar, India",108,108,57,11.2,15.9,4.4,7.5,31.321907,75.578914,2024-05-04 18:00:00
"Punjab Agricultural University, Ludhiana, India",104,104,52,18,7.5,2.8,3.1,30.9028,75.8086,2024-05-04 18:00:00
"Model Town, Patiala, India",83,83,59,22.4,9.4,5.4,3.8,30.349388,76.366642,2024-05-04 18:00:00
"Ratanpura, Rupnagar, India",152,152,72,N/A,N/A,4.1,3.5,31.0325454,76.5623046,2024-05-04 18:00:00
"Civil Lines, Ajmer, India",93,93,60,18.9,5.1,5.3,10.2,26.470859,74.646594,2024-05-04 18:00:00
"Moti Doongri, Alwar, India",124,124,75,15.5,11.1,8.4,5.1,27.554793,76.611536,2024-05-04 18:00:00
"Tulle centre, France",25,N/A,9,25.2,2.3,N/A,N/A,45.26266667,1.762833333,2024-05-04 15:00:00
"Police Commissionerate, Jaipur, India",151,151,74,27.8,16.6,11,6.4,26.9164092,75.7994901,2024-05-04 18:00:00
"Collectorate, Jodhpur, India",80,60,80,29.8,9.2,4.7,11,26.268249,73.0193853,2024-05-04 18:00:00
"Shrinath Puram, Kota, India",160,160,83,20.6,26.6,18.6,7.7,25.14389,75.821256,2024-05-04 18:00:00
"Indira Colony Vistar, Pali, India",88,88,84,17.8,9,3.6,7.3,25.771061,73.340227,2024-05-04 18:00:00
"Ashok Nagar, Udaipur, India",103,103,64,8.3,24,4.5,7.9,24.5886166,73.6321397,2024-05-04 18:00:00
"Zero Point GICI, Gangtok, India",68,68,44,23.4,2,4.8,4.8,27.33853,88.614099,2024-05-04 18:00:00
"Chennai US Consulate, Chennai, India (चेन्नई अमेरिकी वाणिज्य दूतावास)",59,59,N/A,N/A,N/A,N/A,N/A,13.08784008,80.2784729,2024-05-04 18:00:00
"SIDCO Kurichi, Coimbatore, India",87,87,58,3.2,0.5,7.2,5.2,10.942451,76.978996,2023-07-21 11:00:00
"Mendonsa Colony, Dindigul, India",61,61,41,1,0.1,17,4.2,10.358535,77.984321,2023-07-25 10:00:00
"Chalai Bazaar, Ramanathapuram, India",160,160,37,5.7,N/A,3.1,0.3,9.36399,78.831977,2024-05-04 18:00:00
"Salem, Oregon, USA",13,13,N/A,0.1,N/A,N/A,N/A,44.943114,-123.005934,2024-05-04 04:00:00
"Kumaran College, Tirupur, India",68,56,68,2.7,7.3,9.6,6.8,11.0973603,77.3228673,2024-05-04 18:00:00
"Meelavittan, Thoothukudi, India",57,N/A,57,50,11.3,6.8,6.8,8.816428,78.099039,2024-05-04 18:00:00
"Bombay Castel, Ooty, India",137,137,80,2.2,8.6,5.4,4.2,11.4068288,76.7138973,2024-05-03 05:00:00
"Hyderabad US Consulate, India (हैदराबाद अमेरिकी वाणिज्य दूतावास)",122,122,N/A,N/A,N/A,N/A,N/A,17.38405037,78.45635986,2024-05-04 18:00:00
