City,AQI,PM2.5,PM10,O3,NO2,SO2,CO,Latitude,Longitude,timestamp
"Bhopal Chauraha, Dewas, India",0.057647059,0.05170068,0.021276596,0.07269423,0.135693215,0.106999195,0.096354167,22.9682591,76.064118,05-04-2024 18:00
"Marhatal, Jabalpur, India",0.085882353,0.084353741,0.070921986,0.179009541,0.808259587,0.030571199,0.419270833,23.168606,79.932247,05-04-2024 18:00
"Bandhavgar Colony, Satna, India",0.047058824,0,0.042553191,0.031349387,0.038348083,0.014481094,0.205729167,24.58434363,80.8549414,05-04-2024 18:00
"Mahakaleshwar Temple, Ujjain, India",0.072941176,0.06122449,0.06855792,0.225806452,0.159292035,0.032984714,0.1171875,23.182719,75.768218,05-04-2024 14:00
"Gurdeo Nagar, Aurangabad, India",0.065882353,0.06122449,0.043735225,0.105406633,0.079646018,0.003218021,0.109375,24.75746,84.366208,05-04-2024 17:00
"MIDC Khutala, Chandrapur, India",0.188235294,0.160544218,0.184397163,0.000454339,0.507374631,0.073209976,0.330729167,19.9775302,79.2337086,
"Khadakpada, Kalyan, India",0.105882353,0.053061224,0.101654846,0.018627896,0.327433628,0.086886565,0.075520833,19.25292,73.142019,05-04-2024 18:00
"Opp GPO Civil Lines, Nagpur, India",0.149411765,0.157823129,0.092198582,0.12812358,0.887905605,0.355591311,0.1953125,21.152875,79.0517531,05-04-2024 18:00
"Gangapur Road, Nashik, India",0.147058824,0.155102041,0.066193853,0.125397547,0.03539823,0.037811746,0.1171875,20.0073285,73.7762427,05-04-2024 18:00
"DM College of Science, Imphal, India",0.04,0.031292517,0.033096927,0.003634711,0.076696165,0.336283186,0.026041667,24.8207389,93.9423085,05-04-2024 18:00
"Lumpyngngad, Shillong, India",0.163529412,0.17414966,0.044917258,0.024534303,0.01179941,0.131938858,0.078125,25.5586,91.8985,05-04-2024 18:00
"Sikulpuikawn, Aizawl, India",0.054117647,0.039455782,0.04964539,0.005906406,0.002949853,0.008045052,0.0703125,23.7176342,92.7192841,05-04-2024 18:00
"PWD Juction, Kohima, India",0.165882353,0.176870748,0.067375887,0.041799182,0.03539823,0.124698311,0.065104167,25.6635413,94.0989878,05-04-2024 11:00
"Jawahar Nagar, Puducherry, India",0.047058824,0.039455782,0.035460993,0.088596093,0.038348083,0.032180209,0.091145833,11.9309,79.8027,05-04-2024 18:00
"Golden Temple, Amritsar, India",0.144705882,0.152380952,0.055555556,0.074511586,0.300884956,0.034593725,0.0546875,31.62,74.876512,05-04-2024 18:00
"Civil Line, Jalandhar, India",0.110588235,0.11292517,0.046099291,0.048614266,0.466076696,0.034593725,0.1875,31.321907,75.578914,05-04-2024 18:00
"Punjab Agricultural University, Ludhiana, India",0.105882353,0.107482993,0.040189125,0.079509314,0.218289086,0.021721641,0.072916667,30.9028,75.8086,05-04-2024 18:00
"Model Town, Patiala, India",0.081176471,0.078911565,0.048463357,0.099500227,0.274336283,0.042638777,0.091145833,30.349388,76.366642,05-04-2024 18:00
"Civil Lines, Ajmer, India",0.092941176,0.092517007,0.04964539,0.083598364,0.147492625,0.041834272,0.2578125,26.470859,74.646594,05-04-2024 18:00
"Moti Doongri, Alwar, India",0.129411765,0.134693878,0.067375887,0.068150841,0.324483776,0.066773934,0.125,27.554793,76.611536,05-04-2024 18:00
"Police Commissionerate, Jaipur, India",0.161176471,0.171428571,0.066193853,0.12403453,0.486725664,0.08769107,0.158854167,26.9164092,75.7994901,05-04-2024 18:00
"Collectorate, Jodhpur, India",0.077647059,0.047619048,0.073286052,0.133121308,0.268436578,0.037007241,0.278645833,26.268249,73.0193853,05-04-2024 18:00
"Shrinath Puram, Kota, India",0.171764706,0.183673469,0.076832151,0.091322126,0.781710914,0.148833467,0.192708333,25.14389,75.821256,05-04-2024 18:00
"Indira Colony Vistar, Pali, India",0.087058824,0.085714286,0.078014184,0.078600636,0.262536873,0.028157683,0.182291667,25.771061,73.340227,05-04-2024 18:00
"Ashok Nagar, Udaipur, India",0.104705882,0.106122449,0.054373522,0.035438437,0.705014749,0.03539823,0.197916667,24.5886166,73.6321397,05-04-2024 18:00
"Zero Point GICI, Gangtok, India",0.063529412,0.058503401,0.030732861,0.104043617,0.056047198,0.037811746,0.1171875,27.33853,88.614099,05-04-2024 18:00
"SIDCO Kurichi, Coimbatore, India",0.085882353,0.084353741,0.047281324,0.012267151,0.01179941,0.057119871,0.127604167,10.942451,76.978996,
"Mendonsa Colony, Dindigul, India",0.055294118,0.048979592,0.027186761,0.002271695,0,0.135961384,0.1015625,10.358535,77.984321,
"Kumaran College, Tirupur, India",0.063529412,0.042176871,0.059101655,0.009995457,0.212389381,0.076427997,0.169270833,11.0973603,77.3228673,05-04-2024 18:00
"Bombay Castel, Ooty, India",0.144705882,0.152380952,0.073286052,0.007723762,0.250737463,0.042638777,0.1015625,11.4068288,76.7138973,05-03-2024 05:00
"IITH Kandi, Hyderabad, India",0.068235294,0.063945578,0.056737589,0.07678328,0.085545723,0.030571199,0.083333333,17.585705,78.126199,05-04-2024 15:00
"Bardowali, Agartala, India",0.155294118,0.16462585,0.076832151,0.013175829,0.079646018,0.098954143,0.104166667,23.8175497,91.2726974,05-04-2024 18:00
"Rajendra Nagar, Bareilly, India",0.050588235,0.042176871,0.046099291,0.009541118,0.026548673,0.156074014,0.067708333,28.38910936,79.42963708,05-04-2024 18:00
"Yamunapuram, Bulandshahr, India",0.147058824,0.155102041,0.06855792,0.189459337,0.817109145,0.106999195,0.203125,28.406963,77.849831,05-04-2024 18:00
"Sanjay Nagar, Ghaziabad, India",0.169411765,0.180952381,0.088652482,0.199454793,0.528023599,0.045856798,0.197916667,28.685382,77.453839,05-04-2024 18:00
"Madan Mohan Malaviya University of Technology, Gorakhpur, India",0.135294118,0.141496599,0.067375887,0.123125852,0.120943953,0.122284795,0.091145833,26.730136,83.433859,05-04-2024 18:00
"Shivaji Nagar, Jhansi, India",0.092941176,0.092517007,0.037825059,0.108132667,0.244837758,0.064360418,0.096354167,25.4547,78.6039,05-04-2024 18:00
"FTI Kidwai Nagar, Kanpur, India",0.135294118,0.141496599,0.086288416,0.019082235,0.18879056,0.083668544,0.1484375,26.428282,80.327067,05-04-2024 18:00
"B R Ambedkar University, Lucknow, India",0.16,0.170068027,0.088652482,0.121308496,0.120943953,0.112630732,0.111979167,26.766433,80.927299,05-04-2024 17:00
"Omex Eternity, Vrindavan, India",0.112941176,0.115646259,0.087470449,0.044525216,0.026548673,0.136765889,0.1328125,27.571409,77.655757,05-04-2024 18:00
"Pallavpuram Phase 2, Meerut, India",0.130588235,0.121088435,0.126477541,0.093139482,0.548672566,0.069991955,0.1171875,29.06351,77.709723,05-04-2024 18:00
"Jigar Colony, Moradabad, India",0.058823529,0.048979592,0.054373522,0.104497955,0.203539823,0.031375704,0.1640625,28.856664,78.772638,05-04-2024 18:00
"New Mandi, Muzaffarnagar, India",0.158823529,0.168707483,0.106382979,0.083598364,0.297935103,0.055510861,0.1875,29.4723508,77.7194031,05-04-2024 18:00
"Maldahiya, Varanasi, India",0.049411765,0.042176871,0.010638298,0.044979555,0.017699115,0.082864039,0.049479167,25.32393,82.99687,05-04-2024 18:00
"Asansol Court Area, Asansol, India",0.205882353,0.223129252,0.113475177,0.086778737,0.342182891,0.026548673,0.158854167,23.685297,86.945968,05-04-2024 18:00
"Ghusuri, Howrah, India",0.164705882,0.175510204,0.079196217,0.014993185,0.197640118,0.01689461,0.0546875,22.611968,88.347422,05-04-2024 18:00
"Rabindra Bharati University, Kolkata, India",0.061176471,0.055782313,0.04964539,0.146751477,0.247787611,0.032180209,0.111979167,22.627847,88.380669,05-04-2024 18:00
"Bidhannagar, Kolkata, India",0.076470588,0.073469388,0.048463357,0.058155384,0.212389381,0.042638777,0.098958333,22.58157048,88.41002457,05-04-2024 18:00
"Sidhu Kanhu Indoor Stadium, Durgapur, India",0.175294118,0.187755102,0.088652482,0.110404362,0.477876106,0.168141593,0.28125,23.5404352,87.2892225,05-04-2024 18:00
"Victoria, Kolkata, India",0.088235294,0.08707483,0.055555556,0.03861881,0.274336283,0.032984714,0.1875,22.5448082,88.3403691,05-04-2024 18:00
"Ward-32 Bapupara, Siliguri, India",0.089411765,0.088435374,0.059101655,0.086778737,0.542772861,0.027353178,0.096354167,26.6883049,88.412668,05-04-2024 18:00
